0  100  200
1130  200  300
1131  200  400
1132  300  400
1133  200  200
1134  200  600
1135  400  400
1136  200  300
1137  100  500
1138  400  300
1139  300  300
1140  300  400
1141  400  400
1142  200  500
1143  300  200
1144  300  800
1145  400  500
1146  400  500
1147  400  400
1148  300  600
1149  300  200
1150  200  300
1151  200  300
1152  200  400
1153  500  300
1154  300  600
1155  500  400
1156  400  600
1157  400  500
1158  300  400
1159  300  400
1160  300  400
1161  300  400
1162  300  300
1163  200  400
1164  200  300
1165  200  400
1166  4200  400
1167  200  400
1168  300  200
1169  100  300
1170  200  300
1171  200  300
1172  200  300
1173  200  400
1174  200  400
1175  300  200
1176  200  400
1177  200  500
1178  200  200
1179  200  400
1180  200  300
1181  200  200
1182  200  300
1183  300  300
1184  200  300
1185  200  300
1186  300  300
1187  200  200
1188  200  300
1189  200  300
1190  300  400
1191  300  400
1192  300  400
1193  300  300
1194  200  200
1195  100  300
1196  200  300
1197  200  300
1198  300  400
1199  300  400
1200  300  600
1201  500  500
1202  400  200
1203  200  300
1204  200  400
1205  300  500
1206  400  400
1207  200  400
1208  300  400
1209  300  400
1210  300  300
1211  200  500
1212  400  400
1213  300  600
1214  400  400
1215  300  400
1216  200  400
1217  300  300
1218  300  500
1219  300  300
1220  300  300
1221  200  300
1222  300  300
1223  300  300
1224  300  400
1225  400  200
1226  100  300
1227  200  400
1228  300  300
1229  200  300
1230  200  400
1231  200  200
1232  200  400
1233  300  300
1234  300  300
1235  200  300
1236  300  300
1237  200  500
1238  300  200
1239  300  400
1240  200  300
1241  200  300
1242  300  400
1243  200  300
1244  200  400
1245  300  400
1246  300  300
1247  200  400
1248  200  300
1249  200  300
1250  200  300
1251  200  300
1252  100  300
1253  200  200
1254  300  400
1255  200  400
1256  300  300
1257  200  400
1258  300  400
1259  200  300
1260  200  300
1261  200  400
1262  300  200
1263  200  400
1264  300  300
1265  200  300
1266  200  300
1267  300  300
1268  300  400
1269  200  300
1270  100  400
1271  200  300
1272  300  300
1273  200  300
1274  200  400
1275  300  200
1276  200  400
1277  200  400
1278  300  300
1279  200  400
1280  300  300
1281  300  300
1282  200  300
1283  300  400
1284  200  200
1285  200  400
1286  300  300
1287  300  200
1288  100  300
1289  300  200
1290  200  300
1291  200  400
1292  200  300
1293  200  300
1294  300  300
1295  200  200
1296  200  200
1297  200  400
1298  200  300
1299  300  300
1300  200  300
1301  200  200
1302  200  400
1303  300  200
1304  200  300
1305  200  200
1306  300  300
1307  300  300
1308  200  200
1309  200  300
1310  200  400
1311  300  300
1312  300  300
1313  200  300
1314  200  300
1315  200  500
1316  300  300
1317  300  300
1318  200  200
1319  200  200
1320  200  400
1321  300  300
1322  200  300
1323  200  300
1324  200  300
1325  300  300
1326  300  200
1327  200  300
1328  200  300
1329  300  400
1330  200  300
1331  100  400
1332  300  200
1333  200  300
1334  300  300
1335  200  500
1336  400  600
1337  200  300
1338  200  300
1339  200  300
1340  300  300
1341  200  200
1342  200  300
1343  200  300
1344  300  200
1345  100  200
1346  200  400
1347  300  300
1348  200  400
1349  200  300
1350  300  300
1351  200  400
1352  200  300
1353  300  700
1354  500  600
1355  200  600
1356  300  300
1357  400  800
1358  500  500
1359  400  400
1360  300  600
1361  500  200
1362  200  300
1363  200  500
1364  300  400
1365  300  400
1366  200  300
1367  300  300
1368  300  400
1369  200  500
1370  300  200
1371  300  400
1372  300  200
1373  300  400
1374  300  1100
1375  400  400
1376  200  200
1377  200  300
1378  200  400
1379  300  400
1380  300  400
1381  300  400
1382  200  300
1383  300  300
1384  300  300
1385  200  400
1386  300  200
1387  300  300
1388  200  400
1389  300  300
1390  200  400
1391  200  400
1392  200  400
1393  300  300
1394  200  200
1395  200  300
1396  200  300
1397  200  300
1398  200  300
1399  200  300
1400  300  400
1401  300  300
1402  200  300
1403  200  400
1404  300  300
1405  300  200
1406  100  400
1407  300  300
1408  200  300
1409  100  300
1410  200  300
1411  200  300
1412  300  300
1413  200  200
1414  100  300
1415  200  400
1416  200  300
1417  300  200
1418  100  400
1419  300  300
1420  200  300
1421  200  400
1422  300  400
1423  200  300
1424  300  300
1425  300  300
1426  200  200
1427  200  200
1428  200  400
1429  300  300
1430  200  300
1431  300  200
1432  200  300
1433  200  200
1434  200  400
1435  300  300
1436  300  300
1437  200  400
1438  200  300
1439  200  200
1440  200  300
1441  200  400
1442  300  300
1443  300  400
1444  300  300
1445  300  200
1446  200  300
1447  200  300
1448  200  300
1449  200  200
1450  100  400
1451  300  300
1452  300  300
1453  200  300
1454  300  400
1455  300  300
1456  200  300
1457  200  300
1458  200  400
1459  200  200
1460  200  300
1461  300  400
1462  300  400
1463  300  300
1464  200  300
1465  200  300
1466  300  400
1467  200  300
1468  200  300
1469  200  300
1470  200  300
1471  200  300
1472  200  300
1473  200  400
1474  300  200
1475  200  300
1476  200  300
1477  300  300
1478  300  400
1479  400  400
1480  300  300
1481  200  400
1482  300  200
1483  200  400
1484  300  400
1485  300  400
1486  300  300
1487  200  300
1488  200  400
1489  300  200
1490  100  300
1491  300  400
1492  300  300
1493  300  200
1494  200  300
1495  200  300
1496  200  400
1497  300  300
1498  300  300
1499  300  400
1500  300  200
1501  200  400
1502  300  300
1503  300  300
1504  200  300
1505  200  400
1506  300  200
1507  300  300
1508  300  200
1509  100  300
1510  200  300
1511  200  400
1512  200  300
1513  200  200
1514  200  300
1515  200  300
1516  300  200
1517  300  400
1518  400  400
1519  200  300
1520  200  300
1521  300  200
1522  300  300
1523  300  400
1524  200  200
1525  200  300
1526  200  300
1527  200  300
1528  300  200
1529  200  400
1530  200  400
1531  300  400
1532  200  300
1533  200  400
1534  200  400
1535  300  200
1536  200  400
1537  200  200
1538  100  400
1539  300  400
1540  200  300
1541  200  400
1542  300  200
1543  300  200
1544  200  300
1545  200  300
1546  200  300
1547  200  500
1548  200  300
1549  200  300
1550  300  300
1551  300  300
1552  300  300
1553  200  400
1554  200  400
1555  400  400
1556  200  400
1557  400  600
1558  400  500
1559  300  500
1560  400  400
1561  300  500
1562  400  500
1563  300  600
1564  400  400
1565  300  500
1566  400  300
1567  200  500
1568  300  400
1569  400  400
1570  400  500
1571  300  400
1572  400  400
1573  200  400
1574  400  500
1575  400  400
1576  300  500
1577  400  300
1578  300  400
1579  300  700
1580  500  600
1581  700  600
1582  300  500
1583  500  600
1584  300  500
1585  300  500
1586  400  300
1587  200  500
1588  400  300
1589  200  600
1590  400  400
1591  200  300
1592  200  500
1593  300  300
1594  300  500
1595  400  400
1596  300  500
1597  400  300
1598  300  200
1599  200  500
1600  400  300
1601  300  500
1602  400  400
1603  200  400
1604  500  600
1605  400  400
1606  400  700
1607  500  400
1608  200  500
1609  300  300
1610  300  200
1611  200  300
1612  200  400
1613  300  400
1614  300  500
1615  300  200
1616  200  300
1617  200  300
1618  300  300
1619  300  400
1620  200  300
1621  100  300
1622  200  300
1623  300  400
1624  300  300
1625  200  300
1626  200  300
1627  300  400
1628  200  400
1629  300  300
1630  200  300
1631  200  300
1632  100  300
1633  200  400
1634  200  200
1635  200  400
1636  200  400
1637  200  400
1638  300  400
1639  200  300
1640  200  300
1641  300  100
1642  100  300
1643  300  300
1644  200  300
1645  200  200
1646  200  300
1647  200  400
1648  200  300
1649  300  300
1650  200  300
1651  200  300
1652  200  300
1653  300  300
1654  300  200
1655  200  400
1656  200  400
1657  300  300
1658  300  300
1659  200  200
1660  200  300
1661  200  200
1662  200  400
1663  200  400
1664  300  300
1665  200  300
1666  200  300
1667  200  300
1668  200  300
1669  200  200
1670  200  400
1671  200  300
1672  200  300
1673  200  400
1674  200  300
1675  200  400
1676  300  300
1677  300  200
1678  100  300
1679  200  400
1680  300  400
1681  200  300
1682  200  300
1683  200  300
1684  200  200
1685  200  300
1686  200  400
1687  300  300
1688  200  300
1689  300  200
1690  300  400
1691  300  300
1692  200  300
1693  200  300
1694  200  400
1695  200  300
1696  200  400
1697  200  300
1698  200  200
1699  200  300
1700  200  300
1701  300  300
1702  300  300
1703  300  400
1704  200  400
1705  200  300
1706  200  600
1707  300  200
1708  200  300
1709  200  300
1710  200  300
1711  300  300
1712  300  400
1713  300  300
1714  200  300
1715  200  300
1716  300  300
1717  300  300
1718  200  300
1719  200  400
1720  200  300
1721  200  300
1722  200  200
1723  200  300
1724  100  300
1725  200  400
1726  200  300
1727  300  400
1728  200  300
1729  300  300
1730  200  400
1731  200  300
1732  300  400
1733  200  500
1734  400  300
1735  300  400
1736  300  500
1737  300  300
1738  300  400
1739  200  400
1740  200  300
1741  200  400
1742  300  400
1743  300  500
1744  300  400
1745  300  300
1746  200  400
1747  300  300
1748  300  200
1749  200  400
1750  200  500
1751  400  300
1752  200  300
1753  200  400
1754  200  300
1755  200  400
1756  300  400
1757  300  300
1758  200  400
1759  300  400
1760  300  300
1761  200  400
1762  300  200
1763  200  300
1764  300  300
1765  200  200
1766  200  400
1767  300  300
1768  300  300
1769  200  300
1770  200  200
1771  200  400
1772  200  500
1773  200  400
1774  300  300
1775  300  300
1776  200  500
1777  300  300
1778  300  400
1779  300  400
1780  300  200
1781  300  200
1782  100  400
1783  200  300
1784  300  300
1785  200  300
1786  200  300
1787  300  400
1788  300  200
1789  100  400
1790  300  200
1791  200  400
1792  200  400
1793  300  200
1794  100  300
1795  200  400
1796  300  500
1797  400  400
1798  200  200
1799  200  400
1800  200  300
1801  200  300
1802  200  300
1803  200  500
1804  300  300
1805  300  400
1806  200  300
1807  200  300
1808  200  200
1809  200  300
1810  200  300
1811  200  300
1812  200  300
1813  200  300
1814  200  400
1815  200  300
1816  300  400
1817  200  200
1818  200  300
1819  200  300
1820  200  300
1821  200  500
1822  300  300
1823  300  300
1824  300  400
1825  300  300
1826  200  400
1827  200  300
1828  300  400
1829  400  200
1830  200  400
1831  200  500
1832  300  300
1833  200  300
1834  200  300
1835  200  200
1836  100  500
1837  300  400
1838  200  400
1839  200  300
1840  300  300
1841  200  400
1842  200  300
1843  100  400
1844  200  300
1845  200  300
1846  200  300
1847  200  300
1848  200  200
1849  200  300
1850  200  300
1851  200  400
1852  200  200
1853  200  400
1854  200  400
1855  400  400
1856  200  200
1857  100  400
1858  200  400
1859  300  400
1860  300  400
1861  200  400
1862  300  500
1863  300  300
1864  300  300
1865  200  300
1866  200  200
1867  300  300
1868  200  500
1869  200  300
1870  200  400
1871  300  400
1872  300  200
1873  200  400
1874  200  200
1875  200  500
1876  300  300
1877  300  400
1878  200  300
1879  200  300
1880  300  300
1881  300  400
1882  300  200
1883  200  200
1884  200  300
1885  200  300
1886  200  300
1887  200  300
1888  200  500
1889  200  300
1890  200  300
1891  200  400
1892  300  200
1893  200  300
1894  200  400
1895  200  300
1896  200  300
1897  300  400
1898  300  300
1899  200  400
1900  200  300
1901  200  400
1902  300  300
1903  300  500
1904  300  200
1905  200  400
1906  200  200
1907  200  300
1908  300  300
1909  200  400
1910  200  200
1911  200  300
1912  200  400
1913  200  500
1914  200  300
1915  200  300
1916  400  400
1917  300  600
1918  300  400
1919  300  400
1920  200  200
1921  200  400
1922  300  200
1923  200  500
1924  200  400
1925  300  200
1926  200  200
1927  200  400
1928  200  300
1929  200  300
1930  300  600
1931  300  300
1932  200  300
1933  200  500
1934  300  200
1935  300  400
1936  300  400
1937  200  500
1938  400  400
1939  200  300
1940  300  400
1941  200  300
1942  200  300
1943  300  300
1944  200  400
1945  300  500
1946  300  500
1947  200  300
1948  300  200
1949  300  400
1950  300  400
1951  300  300
1952  300  400
1953  300  400
1954  200  400
1955  300  500
1956  300  300
1957  200  300
1958  200  300
1959  200  400
1960  300  300
1961  100  500
1962  300  300
1963  200  300
1964  200  400
1965  200  300
1966  200  300
1967  300  300
1968  200  300
1969  200  200
1970  200  300
1971  100  400
1972  200  300
1973  200  400
1974  300  400
1975  200  300
1976  200  400
1977  200  400
1978  200  400
1979  200  200
1980  200  300
1981  200  400
1982  300  200
1983  300  400
1984  200  300
1985  200  400
1986  300  300
1987  200  300
1988  200  500
1989  300  300
1990  300  400
1991  300  400
1992  300  400
1993  300  300
1994  200  400
1995  200  300
1996  200  500
1997  300  300
1998  300  300
1999  300  300
2000  200  400
2001  300  500
2002  300  300
2003  200  400
2004  200  400
2005  300  400
2006  200  300
2007  300  300
2008  200  300
2009  200  300
2010  200  400
2011  200  200
2012  100  300
2013  200  300
2014  200  300
2015  200  200
2016  100  300
2017  200  300
2018  300  400
2019  200  400
2020  200  300
2021  200  200
2022  200  300
2023  200  300
2024  200  400
2025  200  300
2026  200  400
2027  300  300
2028  200  300
2029  200  200
2030  100  400
2031  300  300
2032  300  500
2033  300  300
2034  200  300
2035  200  500
2036  300  300
2037  200  500
2038  300  400
2039  300  300
2040  200  500
2041  200  400
2042  300  500
2043  300  300
2044  300  300
2045  200  300
2046  200  300
2047  300  300
2048  200  300
2049  200  300
2050  200  400
2051  200  300
2052  300  300
2053  200  300
2054  200  300
2055  200  300
2056  200  300
2057  200  300
2058  200  300
2059  200  300
2060  300  400
2061  300  300
2062  200  200
2063  200  400
2064  200  200
2065  200  300
2066  200  200
2067  200  200
2068  200  300
2069  300  500
2070  300  300
2071  200  400
2072  300  400
2073  200  400
2074  400  600
2075  400  400
2076  300  400
2077  300  400
2078  200  400
2079  300  400
2080  200  400
2081  200  200
2082  200  300
2083  200  300
2084  200  300
2085  200  300
2086  200  200
2087  200  400
2088  300  300
2089  300  400
2090  300  400
2091  300  300
2092  200  400
2093  200  400
2094  300  300
2095  300  200
2096  200  400
2097  200  200
2098  300  300
2099  200  300
2100  200  400
2101  300  400
2102  300  300
2103  200  400
2104  200  300
2105  200  400
2106  200  400
2107  200  400
2108  200  300
2109  200  300
2110  300  200
2111  200  300
2112  200  500
2113  300  300
2114  200  300
2115  200  400
2116  300  400
2117  200  300
2118  300  800
2119  300  300
2120  300  400
2121  200  400
2122  200  400
2123  300  300
2124  200  400
2125  300  300
2126  200  400
2127  300  300
2128  200  400
2129  300  300
2130  200  300
2131  200  300
2132  200  400
2133  200  400
2134  200  300
2135  300  400
2136  300  300
2137  200  400
2138  300  400
2139  300  200
2140  200  400
